"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Shopping cart","1","0","Cart with one product","0"
"0","","0","Inventory management","1","0","Add product to cart","0"
"0","","0","Login functionality","1","0","Valid login","0"
"0","","0","Checkout process","1","0","Missing first name","0"
"0","","0","Order completion","1","0","Complete order flow","0"
"0","","0","Checkout process","1","0","Valid checkout information","0"
"0","","0","Login functionality","1","0","Invalid password","0"
"0","","0","Login functionality","1","0","Empty credentials","0"
"0","","0","Shopping cart","1","0","Empty cart","0"
"0","","0","Login functionality","1","0","Locked out user","0"
"0","","0","Inventory management","1","0","Inventory display","0"
