"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Cart should contain one item after adding backpack","1198","testCartWithOneProduct()","","Fri Feb 06 10:45:51 UTC 2026","passed","Fri Feb 06 10:45:52 UTC 2026","","com.saucedemo.tests.CartTest","com.saucedemo.tests.CartTest","testCartWithOneProduct"
"Adding backpack should show cart badge = 1","4845","testAddProductToCart()","","Fri Feb 06 10:45:38 UTC 2026","passed","Fri Feb 06 10:45:43 UTC 2026","","com.saucedemo.tests.InventoryTest","com.saucedemo.tests.InventoryTest","testAddProductToCart"
"Login with standard_user should open inventory page","1006","testLoginWithValidCredentials()","","Fri Feb 06 10:45:53 UTC 2026","passed","Fri Feb 06 10:45:54 UTC 2026","","com.saucedemo.tests.LoginTest","com.saucedemo.tests.LoginTest","testLoginWithValidCredentials"
"Checkout should show error when first name is missing","1677","testCheckoutWithMissingFirstName()","","Fri Feb 06 10:45:48 UTC 2026","passed","Fri Feb 06 10:45:50 UTC 2026","","com.saucedemo.tests.CheckoutTest","com.saucedemo.tests.CheckoutTest","testCheckoutWithMissingFirstName"
"End-to-end order flow should complete and show confirmation","1845","testCompleteOrderFlow()","","Fri Feb 06 10:45:45 UTC 2026","passed","Fri Feb 06 10:45:46 UTC 2026","","com.saucedemo.tests.CheckoutCompleteTest","com.saucedemo.tests.CheckoutCompleteTest","testCompleteOrderFlow"
"Checkout should continue with valid information","1695","testCheckoutWithValidInformation()","","Fri Feb 06 10:45:46 UTC 2026","passed","Fri Feb 06 10:45:48 UTC 2026","","com.saucedemo.tests.CheckoutTest","com.saucedemo.tests.CheckoutTest","testCheckoutWithValidInformation"
"Login with wrong password should show error","1004","testLoginWithInvalidPassword()","","Fri Feb 06 10:45:54 UTC 2026","passed","Fri Feb 06 10:45:55 UTC 2026","","com.saucedemo.tests.LoginTest","com.saucedemo.tests.LoginTest","testLoginWithInvalidPassword"
"Login with empty fields should show error","947","testLoginWithEmptyCredentials()","","Fri Feb 06 10:45:55 UTC 2026","passed","Fri Feb 06 10:45:56 UTC 2026","","com.saucedemo.tests.LoginTest","com.saucedemo.tests.LoginTest","testLoginWithEmptyCredentials"
"Cart should be empty for a new session","1109","testEmptyCart()","","Fri Feb 06 10:45:50 UTC 2026","passed","Fri Feb 06 10:45:51 UTC 2026","","com.saucedemo.tests.CartTest","com.saucedemo.tests.CartTest","testEmptyCart"
"Login with locked_out_user should show locked out error","996","testLoginWithLockedUser()","","Fri Feb 06 10:45:52 UTC 2026","passed","Fri Feb 06 10:45:53 UTC 2026","","com.saucedemo.tests.LoginTest","com.saucedemo.tests.LoginTest","testLoginWithLockedUser"
"Inventory page should be visible after login","1151","testInventoryPageDisplayed()","","Fri Feb 06 10:45:43 UTC 2026","passed","Fri Feb 06 10:45:44 UTC 2026","","com.saucedemo.tests.InventoryTest","com.saucedemo.tests.InventoryTest","testInventoryPageDisplayed"
